Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11749620619.5962,11186734674.3847,11425755279.5395,13108769495.7472,13996719329.4236,13137128659.479
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4143033275.88493,4544516982.18263,4087725812.66864,4466040642.84766,4594024179.62003,4054712082.54743,4377033429.26721,4856632399.45775,5506767831.83751,5542674764.89028,4778582336.18234
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,93216746661.5977,101370474295.109,98266306615.3632,106825649872.108,110081248587.369,101179808076.36,103311649248.024,109682728023.112,118096227400.092,119700325461.938,112870591694.044
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,11104648673.0016,14381552432.9494,16350804543.0515,16974320551.0213,17716084107.5888,15950969018.9458,11936999283.1791,13219084261.3664,14845870050.7092,15291448211.603,14021421105.9078
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,51518307518.3343,54148124619.0983,53254531557.5056,58175459729.6908,59640204521.7773,60291736893.9397,61449392056.1488,67144725830.5753,68697759361.231,79844294296.0647,76185586096.7974
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11431334446.8076,12523402326.9175,13042007432.3598,12043276401.4161,12435416063.4689,11335179560.987,10721994676.2429,12895153157.3463,13681065175.4861,12565772084.7441,10699926682.6513
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,47564520.3910861,66055407.6703145,96927201.4848422,98491843.6441982,104654365.188653,86779266.1619103,100087348.959092,109585941.624557,124021393.690412,118223430.124446,..
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,16002656434.4746,21621710002.5111,21703106502.4926,22162208956.0893,22731602969.6861,24360795410.1597,24524098184.4236,28971589213.134,33111525182.7133,34186180694.9285,33657175561.329
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,846554894931.084,904085980796.018,838971306990.906,876923518850.405,890981311077.658,765264949780.999,783528181704.567,831809944960.879,913597086062.599,907050863145.097,912242335119.069
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,146517541181.254,168291357111.739,176206659722.524,190906575136.003,201313497220.917,178064471137.921,188943457301.474,206950600690.395,212225726657.864,209127454522.901,212482013605.047
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,8758639096.47693,9774351930.71802,10532049076.9407,10982979274.1922,11880434070.7811,12756706583.3113,13286083644.8761,13785909906.1925,13025208219.7685,12611218627.0632,12621476263.8278
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7851191899.3408,8772951261.81807,9426913349.22319,10224897934.722,10862944203.5591,9685577941.03195,10355006770.1014,11189541083.3975,12846952856.8458,12911689659.351,13678234008.4714
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,361456622215.721,404993594133.582,455501524575.498,508692961937.492,546676374567.721,486803295097.89,404650006428.613,375746469538.666,397190484464.308,448120428858.769,432293776262.398
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,9412311665.9492,10494822518.6525,9743277661.79541,10816616379.3103,11361563307.4935,10071243243.2432,10680463278.8651,11310265324.7941,12679934731.3891,12547086168.4896,12266949805.1436
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,799000000,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1302000000,1182000000,..
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,428757038466.841,498283438454.281,509506317146.541,522761531914.894,498410050251.256,385801550067.169,368827142857.143,398393955268.99,436999692591.454,405510000000,362008956544.827
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,56913065779.2588,67871907375.4484,76511069704.3228,78555622509.2653,80686929102.1927,68420257566.6036,65441278668.2947,70585606843.7797,79788768968.949,76331518668.5771,..
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,177165635077.065,213587413183.996,224383620829.57,231218567178.979,244360888750.807,270556131701.171,278654637737.69,304567253219.097,314567541558.339,278221906022.841,263686552686.208
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,185943000,196911100,212397800,221117200,241669800,280457700,295065400,286106800,280435700,268354900,..
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,29440300000,34686200000,40429700000,45599900000,49921400000,54091800000,57907700000,62202700000,64928300000,66787900000,52938100000
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,14250755231.1257,17984910501.8979,21295659243.6168,21261432791.2675,23210682538.3928,21723531173.2409,20759069103.0961,22742613553.6879,24109509852.7402,24829107011.0701,23591523025.2864
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,27237782849.6908,33756238766.5,33296438306.4747,38651334287.6732,40377987208.689,36211372702.8085,36089550659.0914,38997129473.5558,40225448340.6322,37906944074.6128,35304238230.1132
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,147528937028.778,171761737046.585,192648999090.082,201175469114.327,200789362451.567,189805300841.603,191895943823.887,211007207483.515,222574697255.522,228470919605.669,202014363787.233
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,208368726861.407,234216930369.796,261920509950.555,283902728260.716,297483247101.038,306446140628.709,318626761492.867,328480867142.69,346842094174.513,376823278560.849,361489354350
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,479834179020.33,528301269069.799,498523568248.119,521016262734.924,542477096211.761,477811911394.084,472630364208.177,526508877305.321,587408980271.71,595862086928.211,594164690894.936
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,237880908317.652,244797226567.109,216236608773.976,226369502104.236,229596170846.995,199313894327.486,206286022781.894,220811110492.149,242194788533.537,239510770948.274,231255587276.741
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,98381300000,100351700000,101564800000,102450000000,102445800000,103375500000,104336700000,103445500000,100925000000,104914600000,103138300000
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,125122306346.154,167775268614.037,186833502362.128,198727642979.297,206224598564.624,161739955577.748,151732181857.113,161099122215.307,183334953813.209,175837550996.185,146373588866.511
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,166309355234.589,183326740143.016,170635805316.879,190801346194.297,199959363430.073,177729210874.504,188128818486.401,211695422578.655,241457403085.042,249696854574.199,248715551366.635
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1524917468442.01,2045925608274.37,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657328865709.99,1687448525466.61,1483497784867.6
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,6121234528.98826,6881038269.61727,7650300319.83,7815599502.65683,8241332516.54991,8539048447.78065,8690485823.14546,9253098954.27769,9640280084.19572,10355974217.3735,10333991891.7032
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,663161517.850106,737401692.217475,760549587.136028,770021663.967789,756919917.334022,788307330.55567,799376439.530168,832153612.557186,821496064.526185,852250190.985485,807027244.42138
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1881214370.93994,1813752783.96437,1604779647.95066,1678841811.66158,1673973694.69908,1419394771.21029,1468377272.13859,1528630707.49794,1655300872.53427,1616369645.99635,..
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,196652514.267255,231489270.144529,250680845.747837,300554483.611626,346528329.183227,316066072.343754,345495614.979982,375614126.193877,412253809.728799,427425039.684339,472914469.91933
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,528207332640,671238840106.667,735974843360,746647127413.333,756350347333.333,654269902880,644935541440,688586244293.333,786521831573.333,792966838160,700117873249.269
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,16121314670.9653,17814284622.1718,17660871725.9977,18918668644.1941,19797254643.1212,17774766636.0459,19040312815.1337,20996564751.5994,23116699808.1723,23306213742.3602,24910904235.857
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,41819468691.8251,49258136128.9672,43309252921.0567,48394239474.6762,47062206677.6539,39655958842.5478,40692643373.0327,44179055279.8887,50640650221.4622,51475016532.1293,52960134078.6888
